year	value
1968	16693
1969	19412
1970	21760
1971	25397
1972	30933
1973	35641
1974	45589
1975	61760
1976	75173
1977	89925
1978	106912
1979	136226
1980	153995
1981	187408
1982	228088
1983	264637
1984	248873
1985	296906
1986	348202
1987	363927
1988	321008
1989	404878
1990	392874
1991	427720
1992	410123
1993	446783
1994	513411
1995	500326
1996	540803
1997	619157
1998	612717
1999	717265
2000	824102
2001	986444
2002	1147651
2003	1069459
2004	1059267
2005	1212228
2006	1171319
2007	1188267
2008	1256110
2009	1206726
2010	1265309
2011	1231543
2012	1219346
2013	1308526
2014	1185474
2015	1120701
2016	1156213
2017	1100984
2018	1200020
2019	1128667
2020	1257579
2021	1280197
2022	1318481
2023	1191975
