YEAR,PERI,NORTH1,NORTH2,NORTH3,SOUTH1,SOUTH2,SOUTH3
1980,1,0,4,27,4,16,27
1980,2,6,11,31,8,18,21
1980,3,6,4,25,20,16,24
1980,4,1,10,31,22,17,20
1980,5,4,16,22,21,30,31
1980,6,3,8,28,31,20,30
1980,7,2,11,21,31,27,23
1980,8,2,12,16,30,15,37
1980,9,4,9,28,35,22,27
1980,10,9,8,17,21,9,37
1980,11,1,10,21,22,16,37
1980,12,7,11,20,17,11,23
1980,13,9,10,11,9,14,26
1981,1,1,7,28,8,15,25
1981,2,4,9,30,17,16,37
1981,3,3,11,26,15,6,24
1981,4,3,8,22,7,11,52
1981,5,8,11,34,15,15,31
1981,6,10,11,29,18,13,47
1981,7,4,9,25,18,24,32
1981,8,7,7,28,19,21,23
1981,9,4,6,21,20,16,33
1981,10,5,8,24,33,10,33
1981,11,10,10,32,20,21,27
1981,12,5,8,44,25,29,43
1981,13,5,5,26,16,12,29
1982,1,7,6,18,11,10,30
1982,2,2,10,25,17,24,33
1982,3,6,7,30,11,18,39
1982,4,6,16,35,12,18,43
1982,5,3,12,26,20,15,33
1982,6,7,7,40,21,16,42
1982,7,10,6,33,10,25,41
1982,8,12,12,43,20,26,39
1982,9,6,5,36,24,18,46
1982,10,15,9,39,22,34,24
1982,11,14,12,22,23,26,44
1982,12,12,8,34,17,20,51
1982,13,9,10,38,11,10,29
1983,1,0,15,30,9,23,52
1983,2,4,6,26,10,21,49
1983,3,5,11,30,9,16,36
1983,4,4,11,30,10,19,29
1983,5,10,9,34,15,21,32
1983,6,4,18,34,15,22,42
1983,7,7,13,32,20,18,59
1983,8,10,10,47,28,36,36
1983,9,10,11,36,29,20,62
1983,10,11,10,42,29,25,41
1983,11,6,9,28,24,17,49
1983,12,12,12,28,18,29,48
1983,13,5,7,26,8,19,24
