,Invercargill,Leigh,Lauder,Paraparaumu,Christchurch
4/09/1981,1.4,,,,
5/09/1981,1.3,,,,
6/09/1981,0.7,,,,
7/09/1981,1.7,,,,
8/09/1981,1.8,,,,
9/09/1981,1.1,,,,
10/09/1981,1.6,,,,
11/09/1981,2,,,,
12/09/1981,1.4,,,,
13/09/1981,2.1,,,,
14/09/1981,1.8,,,,
15/09/1981,2,,,,
16/09/1981,1.8,,,,
17/09/1981,2.4,,,,
18/09/1981,1.6,,,,
19/09/1981,2.8,,,,
20/09/1981,2.7,,,,
21/09/1981,2.4,,,,
22/09/1981,3.2,,,,
23/09/1981,2.5,,,,
24/09/1981,2,,,,
25/09/1981,3.3,,,,
26/09/1981,2.2,,,,
27/09/1981,2.5,,,,
28/09/1981,3.2,,,,
29/09/1981,3.5,,,,
30/09/1981,1.3,,,,
1/10/1981,2.3,,,,
2/10/1981,3.3,,,,
3/10/1981,2.4,,,,
4/10/1981,2.2,,,,
5/10/1981,3.5,,,,
6/10/1981,3.2,,,,
7/10/1981,3.7,,,,
8/10/1981,3.8,,,,
9/10/1981,4.2,,,,
10/10/1981,2.3,,,,
11/10/1981,3.4,,,,
12/10/1981,4,,,,
13/10/1981,3.6,,,,
14/10/1981,4.7,,,,
15/10/1981,4.5,,,,
16/10/1981,1.9,,,,
17/10/1981,4.5,,,,
18/10/1981,2.7,,,,
19/10/1981,5.3,,,,
20/10/1981,1.6,,,,
21/10/1981,3.5,,,,
22/10/1981,1.7,,,,
23/10/1981,1.8,,,,
24/10/1981,5,,,,
25/10/1981,5.6,,,,
26/10/1981,3.7,,,,
27/10/1981,5.4,,,,
28/10/1981,5.9,,,,
29/10/1981,5.9,,,,
30/10/1981,5.9,,,,
31/10/1981,4.9,,,,
1/11/1981,3.7,,,,
2/11/1981,2.7,,,,
3/11/1981,6.4,,,,
4/11/1981,3.3,,,,
5/11/1981,3.4,,,,
6/11/1981,5.1,,,,
7/11/1981,5.3,,,,
8/11/1981,5.9,,,,
9/11/1981,6.9,,,,
10/11/1981,5.4,,,,
11/11/1981,6.5,,,,
12/11/1981,6.5,,,,
