year.month	erythemal.uv
1990-01	5.0390
1990-02	4.4780
1990-03	2.3400
1990-04	1.2270
1990-05	0.6930
1990-06	0.0000
1990-07	0.4292
1990-08	0.5990
1990-09	1.4910
1990-10	2.4740
1990-11	3.5790
1990-12	4.0680
1991-01	4.3640
1991-02	3.7260
1991-03	2.7710
1991-04	1.3070
1991-05	0.5652
1991-06	0.4357
1991-07	0.4964
1991-08	0.7823
1991-09	1.2300
1991-10	2.2360
1991-11	2.7800
1991-12	5.0260
1992-01	5.0300
1992-02	4.3970
1992-03	2.5870
1992-04	1.3830
1992-05	0.5283
1992-06	0.4064
1992-07	0.4210
1992-08	0.6740
1992-09	1.5670
1992-10	2.6060
1992-11	4.0860
1992-12	4.8070
1993-01	4.4220
1993-02	4.3600
1993-03	2.5390
1993-04	1.2570
1993-05	0.6186
1993-06	0.3311
1993-07	0.4103
1993-08	0.8706
1993-09	1.6470
1993-10	2.4620
1993-11	3.5000
1993-12	5.0260
1994-01	4.6800
1994-02	3.9370
1994-03	2.4140
1994-04	1.2610
1994-05	0.5319
1994-06	0.3395
1994-07	0.3671
1994-08	0.7241
1994-09	1.2940
1994-10	2.6610
1994-11	3.1150
1994-12	5.1400
1995-01	4.7940
1995-02	4.1870
1995-03	2.9170
1995-04	1.3310
1995-05	0.5804
1995-06	0.3128
1995-07	0.5227
1995-08	0.7911
1995-09	1.1790
1995-10	2.4250
1995-11	3.5330
1995-12	4.7090
1996-01	5.3580
1996-02	4.1130
1996-03	2.3710
1996-04	1.1810
1996-05	0.5686
1996-06	0.3411
1996-07	0.4028
1996-08	0.7538
1996-09	1.4920
1996-10	2.3210
1996-11	3.5400
1996-12	4.7730
1997-01	5.2990
1997-02	4.0980
1997-03	2.7940
1997-04	1.2510
1997-05	0.5710
1997-06	0.3528
1997-07	0.4572
1997-08	0.8300
1997-09	1.6960
1997-10	2.3570
1997-11	3.9670
1997-12	5.1250
1998-01	5.5360
1998-02	4.4680
1998-03	2.5430
1998-04	1.3740
1998-05	0.5688
1998-06	0.3547
1998-07	0.3914
1998-08	0.8048
1998-09	1.3620
1998-10	2.1000
1998-11	4.0180
1998-12	4.6850
1999-01	5.3270
1999-02	4.6730
1999-03	2.6850
1999-04	1.3120
1999-05	0.6331
1999-06	0.3505
1999-07	0.4486
1999-08	0.7478
1999-09	1.5380
1999-10	2.3820
1999-11	3.0410
1999-12	4.9430
2000-01	4.5840
2000-02	4.2390
2000-03	2.7320
2000-04	1.1980
2000-05	0.5274
2000-06	0.3019
2000-07	0.3550
2000-08	0.7234
2000-09	1.4460
2000-10	2.2670
2000-11	3.6480
2000-12	5.3070
2001-01	4.5860
2001-02	3.8720
2001-03	2.5610
2001-04	1.2950
2001-05	0.6802
