Country,Code,Birth,Fertility,Death,IMR,Life_male,Life_female,As_Af
1,Argentina,AR,18.59,2.47,7.59,18.31,71.67,78.61,2
2,Australia,AU,13.01,1.7681,7.12,5.04,76.9,82.74,2
3,Brazil,BR,18.84,2.13,9.37,38.04,58.54,67.56,2
4,Canada,CA,11.34,1.6004,7.39,5.08,76.02,83,2
5,China,CH,16.12,1.8189,6.73,28.92,69.6,73.33,1
6,Egypt,EY,25.38,3.15,7.83,62.32,61.29,65.47,1
7,Ethiopia,ET,45.13,7.0685,17.63,101.29,44.41,45.94,1
8,France,FR,12.27,1.7466,9.14,4.51,74.85,82.89,2
9,Germany,GE,9.35,1.3754,10.49,4.77,74.3,80.75,2
10,India,IN,24.79,3.11,8.88,64.9,61.89,63.13,1
11,Indonesia,IE,22.6,2.61,6.31,42.21,65.61,70.42,1
12,Italy,IT,9.13,1.1801,9.99,5.92,75.85,82.41,2
13,Japan,JA,9.96,1.4075,8.15,3.91,77.51,84.05,1
14,Kenya,KE,29.35,3.66,14.08,68.74,46.95,49.04,1
15,Mexico,ME,23.15,2.67,5.05,26.19,68.47,74.66,2
16,Netherlands,NL,12.12,1.6448,8.72,4.42,75.4,81.28,2
17,New Zealand,NZ,14.28,1.8,7.57,6.39,74.85,80.93,2
18,Nigeria,NI,40.16,5.66,13.72,74.18,51.58,51.55,1
19,Pakistan,PA,32.11,4.5649,9.51,82.49,60.27,61.91,1
20,Philippines,PH,27.85,3.48,6.13,29.52,64.65,70.46,1
21,Poland,PO,10.13,1.379,9.99,9.61,69.01,77.6,2
22,Russia,RU,9.02,1.2463,13.8,20.33,61.95,72.69,2
23,South Africa,SA,21.56,2.4732,14.69,58.88,50.41,51.81,1
24,Spain,SP,9.22,1.1478,9.03,4.99,75.32,82.49,2
25,Switzerland,SW,10.4,1.4655,8.75,4.53,76.73,82.63,2
26,Thailand,TH,16.86,1.88,7.53,31.48,65.29,71.97,1
27,United Kingdom,UK,11.74,1.7304,10.38,5.63,74.97,80.49,2
28,United States,US,14.2,2.0554,8.7,6.82,74.24,79.9,2
