"","Team","Game","Spread","Outcome","MIN","PTS","P2p","P3p","FTp","OREB","DREB","AST","TOV","STL","BLK","PF"
"1","ATL",21900014,17,"W",48,117,0.6,0.354838709677419,0.857142857142857,8,34,27,13,9,2,15
"2","ATL",21900028,4,"W",48,103,0.62962962962963,0.3,0.533333333333333,9,43,22,18,5,9,26
"3","ATL",21900043,-2,"L",48,103,0.473684210526316,0.333333333333333,0.6875,8,37,23,21,12,3,25
"4","ATL",21900052,-15,"L",48,97,0.545454545454545,0.282051282051282,0.666666666666667,9,24,28,20,14,7,29
"5","ATL",21900066,-9,"L",48,97,0.537037037037037,0.205882352941176,0.692307692307692,16,34,20,16,5,5,15
"6","ATL",21900099,8,"W",48,108,0.533333333333333,0.366666666666667,0.6875,9,39,22,18,9,5,20
"7","ATL",21900105,-20,"L",48,93,0.545454545454545,0.2,0.771428571428571,6,35,18,24,7,3,26
"8","ATL",21900119,-12,"L",48,109,0.627118644067797,0.321428571428571,0.571428571428571,11,23,23,13,8,6,19
"9","ATL",21900138,-11,"L",53,113,0.492063492063492,0.268292682926829,0.72,11,37,21,16,11,8,26
"10","ATL",21900150,4,"W",48,125,0.591836734693878,0.441176470588235,0.647058823529412,10,35,30,15,1,5,21
"11","ATL",21900165,-16,"L",48,112,0.533333333333333,0.258064516129032,0.8,15,34,25,22,15,5,31
"12","ATL",21900182,-49,"L",48,101,0.424242424242424,0.25,0.72972972972973,14,24,19,19,11,10,27
"13","ATL",21900188,-21,"L",48,101,0.5,0.285714285714286,0.76,9,28,16,20,11,2,19
"14","ATL",21900204,-8,"L",48,127,0.461538461538462,0.451612903225806,0.806451612903226,9,34,27,13,8,2,26
"15","ATL",21900215,-25,"L",48,103,0.549019607843137,0.27027027027027,1,10,24,26,20,12,2,18
"16","ATL",21900228,-3,"L",48,116,0.589285714285714,0.411764705882353,0.727272727272727,8,30,32,15,9,7,27
"17","ATL",21900243,-12,"L",48,113,0.5,0.3125,0.807692307692308,9,33,26,18,6,4,25
"18","ATL",21900261,-9,"L",48,102,0.45,0.323529411764706,0.681818181818182,14,35,22,19,4,5,25
"19","ATL",21900272,-1,"L",53,104,0.517241379310345,0.28125,0.944444444444444,10,38,14,24,10,3,27
"20","ATL",21900282,-47,"L",48,111,0.534883720930233,0.326086956521739,0.8,8,21,26,14,5,2,23
"21","ATL",21900295,25,"W",48,104,0.55,0.275862068965517,0.933333333333333,11,27,21,15,13,4,12
"22","ATL",21900309,-12,"L",48,118,0.609375,0.346153846153846,0.619047619047619,9,26,24,16,8,9,19
"23","ATL",21900336,15,"W",48,122,0.565217391304348,0.4,0.941176470588235,11,37,28,14,8,8,24
"24","ATL",21900354,-14,"L",53,121,0.609756097560976,0.37037037037037,0.611111111111111,4,33,30,12,4,6,23
"25","ATL",21900361,-34,"L",48,102,0.488888888888889,0.342105263157895,0.730769230769231,10,31,26,23,7,5,20
