"","value","frequency","num","label"
"1",47.609756097561,1,"recording 1",""
"2",79.6829268292683,2,"recording 1",""
"3",96.1951219512195,3,"recording 1",""
"4",96.9268292682927,4,"recording 1",""
"5",94.8536585365854,5,"recording 1",""
"6",79.7073170731707,6,"recording 1",""
"7",66.7560975609756,7,"recording 1",""
"8",57.4634146341463,8,"recording 1",""
"9",55.8536585365854,9,"recording 1",""
"10",61.2926829268293,10,"recording 1",""
"11",54.2439024390244,11,"recording 1",""
"12",40.3658536585366,12,"recording 1",""
"13",36.4634146341463,13,"recording 1",""
"14",42.6341463414634,14,"recording 1",""
"15",57,15,"recording 1",""
"16",69.0487804878049,16,"recording 1",""
"17",73.1707317073171,17,"recording 1",""
"18",72.0487804878049,18,"recording 1",""
"19",63.8536585365854,19,"recording 1",""
"20",52.8536585365854,20,"recording 1",""
"21",51,21,"recording 1",""
"22",53.2682926829268,22,"recording 1",""
"23",47.5853658536585,23,"recording 1",""
"24",45.2439024390244,24,"recording 1",""
"25",55.2926829268293,25,"recording 1",""
"26",52.2926829268293,26,"recording 1",""
"27",53.1707317073171,27,"recording 1",""
"28",50.0243902439024,28,"recording 1",""
"29",42.7317073170732,29,"recording 1",""
"30",32.6829268292683,30,"recording 1",""
"31",32.3658536585366,31,"recording 1",""
"32",31.1219512195122,32,"recording 1",""
"33",33.8048780487805,33,"recording 1",""
"34",39.4146341463415,34,"recording 1",""
"35",44.7560975609756,35,"recording 1",""
"36",44.6829268292683,36,"recording 1",""
"37",48.8780487804878,37,"recording 1",""
"38",58.219512195122,38,"recording 1",""
"39",54.7073170731707,39,"recording 1",""
"40",44.8292682926829,40,"recording 1",""
"41",47.4634146341463,41,"recording 1",""
"42",51.7073170731707,42,"recording 1",""
"43",47.219512195122,43,"recording 1",""
"44",50.7317073170732,44,"recording 1",""
"45",55.4878048780488,45,"recording 1",""
"46",57.8048780487805,46,"recording 1",""
"47",53.9756097560976,47,"recording 1",""
"48",61.5365853658537,48,"recording 1",""
"49",58.1951219512195,49,"recording 1",""
"50",60.0487804878049,50,"recording 1",""
"51",61.1951219512195,51,"recording 1",""
"52",60.0731707317073,52,"recording 1",""
"53",50.390243902439,53,"recording 1",""
"54",46.8048780487805,54,"recording 1",""
"55",49.7317073170732,55,"recording 1",""
"56",47.4146341463415,56,"recording 1",""
"57",42.0243902439024,57,"recording 1",""
"58",37.0487804878049,58,"recording 1",""
"59",32.7073170731707,59,"recording 1",""
"60",34.3170731707317,60,"recording 1",""
"61",33.2926829268293,61,"recording 1",""
"62",37.1951219512195,62,"recording 1",""
"63",35.4146341463415,63,"recording 1",""
"64",35.2682926829268,64,"recording 1",""
"65",31.8536585365854,65,"recording 1",""
"66",25.4634146341463,66,"recording 1",""
"67",19.4390243902439,67,"recording 1",""
"68",22.5121951219512,68,"recording 1",""
"69",25.2682926829268,69,"recording 1",""
"70",21.9512195121951,70,"recording 1",""
"71",16.0487804878049,71,"recording 1",""
"72",14.8780487804878,72,"recording 1",""
"73",13.5365853658537,73,"recording 1",""
"74",15.0975609756098,74,"recording 1",""
"75",13.9268292682927,75,"recording 1",""
"76",13.9024390243902,76,"recording 1",""
"77",11.0975609756098,77,"recording 1",""
"78",6.51219512195122,78,"recording 1",""
"79",2.75609756097561,79,"recording 1",""
"80",0.170731707317073,80,"recording 1",""
"81",0,81,"recording 1",""
"82",0,82,"recording 1",""
"83",0,83,"recording 1",""
"84",0,84,"recording 1",""
"85",0,85,"recording 1",""
"86",0,86,"recording 1",""
"87",0,87,"recording 1",""
"88",0,88,"recording 1",""
"89",0,89,"recording 1",""
"90",0,90,"recording 1",""
"91",0,91,"recording 1",""
"92",0,92,"recording 1",""
"93",0,93,"recording 1",""
"94",0,94,"recording 1",""
"95",0,95,"recording 1",""
"96",0,96,"recording 1",""
"97",0,97,"recording 1",""
"98",0,98,"recording 1",""
"99",0,99,"recording 1",""
"100",0,100,"recording 1",""
"101",0,101,"recording 1",""
"102",0,102,"recording 1",""
"103",0,103,"recording 1",""
"104",0,104,"recording 1",""
"105",0,105,"recording 1",""
"106",0,106,"recording 1",""
"107",0,107,"recording 1",""
