Catchment name,NZTM_Easting,NZTM_Northing,Region,Segment length,Suspended sediment load,Ammoniacal nitrogen median pH,ANZECC elevation class,CHLA Mean,Dissolved oxygen,E. coli median,Temperature,Total nitrogen median,Total phosphorus median,Total suspended solids,Turbidity median,Visual clarity median
Wairoa River,1695213,6038378,Northland,544.0397432,558275.5,0.011220989,lowland,24.01792667,9.4962,262.8341582,15.9127,0.601366335,0.036585088,10.35380544,6.634983767,0.926604839
Wairoa River,1695645,6038395,Northland,1546.055019,559056.1,0.011220989,lowland,23.48512828,9.5002,261.0595292,15.9067,0.601366335,0.036585088,10.35380544,6.634983767,0.927315119
Wairoa River,1695791,6038027,Northland,1245.296082,560301.6,0.011240099,lowland,25.83149194,9.4904,260.3565256,15.9297,0.601366335,0.036575792,10.38962805,6.641827402,0.927391439
Wairoa River,1695887,6037382,Northland,2741.666747,562888.8,0.011258769,lowland,25.23183079,9.4994,260.9764376,15.9031,0.601366335,0.036583965,10.32285911,6.61425989,0.927558788
Wairoa River,1695739,6036652,Northland,399.2472238,562888.8,0.01133916,lowland,25.51672,9.4994,261.7931043,15.9031,0.601366335,0.036560301,10.32285911,6.60820382,0.926814583
Wairoa River,1694173,6036731,Northland,669.1329555,596116.9,0.011518635,lowland,27.57834203,9.4888,266.0428045,15.9586,0.598932306,0.037548608,11.6573544,6.629481514,0.917469223
Wairoa River,1694630,6036590,Northland,719.701964,595351.6,0.011529087,lowland,27.62618153,9.4918,265.5691622,15.958,0.598932306,0.037400553,11.6573544,6.607350443,0.917948022
Wairoa River,1695547,6036245,Northland,736.3876057,563342.4,0.01133916,lowland,24.78091948,9.5085,261.0644856,15.8957,0.601366335,0.036560301,10.32285911,6.60820382,0.926814583
Wairoa River,1694289,6035899,Northland,1532.74295,610216.6,0.011519264,lowland,25.22137225,9.4913,258.3882387,15.9728,0.597566035,0.037749293,11.6815373,6.680209045,0.9204331
Wairoa River,1694661,6035870,Northland,1379.428339,595300,0.011518161,lowland,25.11250827,9.4919,265.9739142,15.958,0.599197482,0.0374211,11.6573544,6.623792375,0.917224404
Wairoa River,1695227,6035657,Northland,1001.130388,594832.2,0.011515965,lowland,25.38190777,9.4642,267.4491257,15.9971,0.598621515,0.0374211,11.71655674,6.618150191,0.917224404
Wairoa River,1694233,6035070,Northland,1188.327939,610521.2,0.011610108,lowland,26.07338223,9.4686,259.34704,16.0025,0.598453352,0.037727208,11.70038089,6.677379276,0.9204331
Wairoa River,1693404,6034881,Northland,547.0500169,615602.6,0.011447434,lowland,24.39052256,9.4539,267.8455833,16.0165,0.600001289,0.038037578,11.78691088,6.673166285,0.92030059
Wairoa River,1692338,6034365,Northland,504.6395298,619724.4,0.011585183,lowland,23.23908313,9.4827,264.9538759,15.9716,0.594806553,0.038074548,11.71925489,6.650200635,0.920770235
Wairoa River,1693072,6034363,Northland,1058.966147,619584.4,0.011509706,lowland,24.05775095,9.4626,266.3095728,15.9884,0.600001289,0.038037578,11.71116231,6.68181278,0.92156372
Wairoa River,1693645,6034605,Northland,1508.780831,615469.8,0.011494416,lowland,24.89012822,9.464,265.0260854,15.9884,0.598715663,0.038037578,11.72465305,6.675851427,0.92101964
Wairoa River,1694293,6034447,Northland,988.7057559,615335.3,0.011525459,lowland,23.96991543,9.4468,264.760243,16.0181,0.598715663,0.038037578,11.75709426,6.669341165,0.920900346
Wairoa River,1691676,6034283,Northland,886.3138652,620221.8,0.011681708,lowland,24.27421053,9.4836,263.9241823,15.9755,0.595312723,0.037983149,11.71925489,6.644687494,0.920770235
Wairoa River,1691665,6033794,Northland,598.8623091,644574.3,0.011475429,lowland,24.16018892,9.4476,269.0620568,15.9992,0.589150578,0.038263569,11.72735306,6.622177187,0.919013095
Wairoa River,1691795,6033374,Northland,651.5609028,644609.8,0.011442957,lowland,24.91405085,9.4522,265.8885149,15.9975,0.590986615,0.038437151,11.69230135,6.619934721,0.919503996
Wairoa River,1691899,6032935,Northland,853.3131328,644609.8,0.011411795,lowland,26.34098117,9.4522,266.0466822,15.9975,0.591442333,0.03848106,11.69230135,6.602254212,0.919697484
Wairoa River,1692271,6032428,Northland,504.6393093,650348.1,0.011439411,lowland,24.19033279,9.4676,265.90795,15.9593,0.591442333,0.038579106,11.67615899,6.596806428,0.92035102
Wairoa River,1692212,6032071,Northland,259.5957898,650754,0.011433189,lowland,25.83334445,9.4445,266.8803745,16.0043,0.590734937,0.038391842,11.78148406,6.570996996,0.917081826
Wairoa River,1691943,6031531,Northland,1041.39583,651786.8,0.011465403,lowland,27.92720669,9.4544,268.0903208,15.9983,0.589442877,0.038450957,11.74627056,6.568197457,0.917395234
Wairoa River,1692271,6030856,Northland,921.4477112,653496.4,0.011437957,lowland,25.42058455,9.456,267.5969168,15.9999,0.591785614,0.038571475,11.75709426,6.577119091,0.916305618
Wairoa River,1692935,6030610,Northland,753.9466087,653705.3,0.011446008,lowland,25.13889679,9.4823,266.5969737,15.9657,0.591955824,0.038571475,11.68422738,6.577764144,0.916337728
Wairoa River,1682216,6030022,Northland,149.9311428,971517,0.014584025,lowland,27.32289964,8.9015,268.395799,16.0561,0.691383412,0.04368235,13.90592875,7.808158767,0.881610528
Wairoa River,1682501,6030023,Northland,419.8074396,971517,0.01468155,lowland,27.96350249,8.9015,267.2280915,16.0561,0.691052823,0.04368235,13.90592875,7.841512634,0.88002644
Wairoa River,1682816,6030024,Northland,209.9040198,903324.4,0.014861849,lowland,28.00880593,8.882,266.4055809,16.0584,0.693513661,0.044268353,13.57688064,7.797042047,0.879970418
Wairoa River,1683281,6030025,Northland,719.672025,903324.4,0.014736685,lowland,26.02307678,8.882,268.996008,16.0584,0.694639613,0.044268353,13.57688064,7.76980709,0.879799894
Wairoa River,1693191,6030064,Northland,551.3117827,653839.9,0.011446008,lowland,25.64101601,9.4805,267.5386896,15.9656,0.592664682,0.038571475,11.68422738,6.57824724,0.91482236
Wairoa River,1692058,6029896,Northland,391.9658515,660532.7,0.011483709,lowland,26.75056894,9.4625,268.6195966,15.9884,0.591745043,0.038353504,11.67884783,6.633884131,0.909845215
Wairoa River,1681617,6029886,Northland,1161.301307,972000.4,0.014614949,lowland,27.91632433,8.9092,268.21143060000003,16.0597,0.69548039,0.043471816,13.90592875,7.803323311,0.882373019
Wairoa River,1693402,6029824,Northland,102.3835189,655043.8,0.011437957,lowland,25.02751079,9.4671,267.5386896,15.968,0.591955824,0.038571475,11.68691808,6.572819266,0.916305618
Wairoa River,1683857,6029870,Northland,561.5828173,895542.9,0.014440891,lowland,25.42875141,8.9747,268.1900254,16.0241,0.69322372,0.043804213,13.41528798,7.761897778,0.879249517
Wairoa River,1692836,6029718,Northland,1311.285241,655391.4,0.01143209,lowland,27.47478639,9.4759,269.0849043,15.962,0.593016326,0.038571475,11.66809617,6.571538786,0.912225542
Wairoa River,1691678,6029713,Northland,764.2333576,660532.7,0.011483709,lowland,26.55747451,9.4625,268.5460542,15.9884,0.591410997,0.038353504,11.67884783,6.5945553,0.909845215
Wairoa River,1691433,6029169,Northland,526.4659312,660557.1,0.011508335,lowland,26.98179312,9.458,268.2687426,15.9958,0.592119203,0.038353504,11.69499391,6.614505857,0.908343711
Wairoa River,1683794,6029248,Northland,923.5504291,894818.8,0.014440891,lowland,25.41871251,9.0054,266.8245072,16.0222,0.69322372,0.043804213,13.41528798,7.761897778,0.879249517
Wairoa River,1691050,6028934,Northland,434.372617,660591.7,0.011503613,lowland,28.73319018,9.4656,268.6409608,15.9613,0.592119203,0.038353504,11.66809617,6.604720919,0.905079161
Wairoa River,1690765,6028768,Northland,272.015505,660591.7,0.011503613,lowland,25.72466208,9.4656,268.2597604,15.9613,0.592119203,0.038399051,11.66809617,6.604720919,0.905079161
Wairoa River,1688803,6027879,Northland,239.8954033,677479.6,0.011642323,lowland,27.14313081,9.4685,268.0632893,15.9586,0.592737831,0.038733401,11.6573544,6.636320242,0.901365808
Wairoa River,1688381,6027818,Northland,654.5664683,685423.6,0.011674864,lowland,27.55953952,9.4402,264.454458,16.0001,0.591546076,0.038567151,11.66003892,6.671584253,0.901523166
Wairoa River,1683555,6028313,Northland,1146.757424,894740.2,0.014546899,lowland,26.49550305,8.9086,265.9211103,16.0596,0.69322372,0.043760361,13.54565468,7.786103065,0.8807319
Wairoa River,1680645,6028686,Northland,2497.365286,973737.1,0.014589911,lowland,26.19384069,8.8878,268.5070923,16.0614,0.69548039,0.043650079,13.92836054,7.853433651,0.879227666
Wairoa River,1687934,6027632,Northland,469.4995497,685727.6,0.011674864,lowland,25.41390373,9.4117,272.2673364,15.9955,0.591546076,0.038567151,11.72735306,6.671584253,0.901523166
Wairoa River,1683886,6027486,Northland,780.8943639,894663,0.014537013,lowland,27.87860191,8.8932,266.2800543,16.0577,0.69322372,0.043760361,13.63013006,7.820693287,0.880600301
Wairoa River,1689539,6027656,Northland,1415.782282,677349.4,0.011584415,lowland,25.86536281,9.4385,269.9167538,15.996,0.595282217,0.038568772,11.71655674,6.625022625,0.900879728
Wairoa River,1681338,6026991,Northland,2100.275751,977833.5,0.014701764,lowland,25.54177456,8.8805,273.5384229,16.065,0.696121334,0.044000557,14.02490732,7.945720402,0.877675885
Wairoa River,1690295,6027801,Northland,2682.887264,670008.4,0.011589846,lowland,26.74696321,9.4572,264.6947369,15.9884,0.597702875,0.038482954,11.6251884,6.611307055,0.905424605
Wairoa River,1684157,6027052,Northland,361.9680322,893963.7,0.014546899,lowland,25.70289025,8.9257,269.1617621,16.0592,0.69322372,0.043760361,13.54253604,7.79823538,0.883206799
Wairoa River,1682448,6026934,Northland,169.6277056,978050.2,0.014708955,lowland,26.26926422,8.8698,269.4786393,16.0617,0.700869013,0.043954665,14.12537545,7.95351217,0.878150421
Wairoa River,1688085,6027146,Northland,626.7099134,686540.3,0.011709081,lowland,25.12165393,9.4316,272.982879,16.0017,0.595790761,0.038966155,11.67884783,6.668735235,0.901996679
Wairoa River,1690275,6026923,Northland,144.7904674,670027,0.011586416,lowland,25.73416482,9.4245,273.6310623,15.9992,0.597702875,0.038412746,11.76521858,6.621498497,0.905312576
Wairoa River,1689825,6026931,Northland,272.014523,675237.4,0.011583155,lowland,25.60715714,9.4339,272.5260793,15.997,0.596020585,0.038446452,11.70038089,6.625462395,0.902164265
Wairoa River,1690087,6026833,Northland,342.2787222,672789.6,0.011583155,lowland,25.33337235,9.4332,273.6310623,15.9973,0.596371008,0.038409987,11.71385921,6.625462395,0.902164265
